Brand Name,Headquarter Location,Year Founded,Founder Name
Rolex,Geneva, Switzerland,1905,Hans Wilsdorf
Omega,Biel/Bienne, Switzerland,1848,Louis Brandt
Patek Philippe,Geneva, Switzerland,1839,Antoni Patek & Adrien Philippe
Audemars Piguet,Le Brassus, Switzerland,1875,Jules Louis Audemars & Edward-Auguste Piguet
Jaeger-LeCoultre,Le Sentier, Switzerland,1833,Antoine LeCoultre (merged with Edmond Jaeger)
Tag Heuer,La Chaux-de-Fonds, Switzerland,1860,Edouard Heuer
Breitling,Grenchen, Switzerland,1884,Léon Breitling
IWC Schaffhausen,Schaffhausen, Switzerland,1868,Florentine Ariosto Jones
Hublot,Nyon, Switzerland,1980,Carlo Crocco
Cartier,Paris, France,1847,Louis-François Cartier
Panerai,Florence, Italy,1860,Giovanni Panerai
Bulgari,Rome, Italy,1884,Sotirios Voulgaris
Richard Mille,Les Breuleux, Switzerland,2001,Richard Mille
Zenith,Le Locle, Switzerland,1865,Georges Favre-Jacot
Chopard,Geneva, Switzerland,1860,Louis-Ulysse Chopard
Franck Muller,Geneva, Switzerland,1991,Franck Muller
Ulysse Nardin,Le Locle, Switzerland,1846,Ulysse Nardin
Blancpain,Paudex, Switzerland,1735,Jehan-Jacques Blancpain
Vacheron Constantin,Geneva, Switzerland,1755,Jean-Marc Vacheron
A. Lange & Söhne,Glashütte, Germany,1845,Ferdinand Adolph Lange
Breguet,Paris, France,1775,Abraham-Louis Breguet
Girard-Perregaux,La Chaux-de-Fonds, Switzerland,1791,Jean-François Bautte
Parmigiani Fleurier,La Chaux-de-Fonds, Switzerland,1996,Michel Parmigiani
Roger Dubuis,Geneva, Switzerland,1995,Roger Dubuis
Bovet,Geneva, Switzerland,1822,Édouard Bovet
Montblanc,Hamburg, Germany,1906,Claus Johann Vestly, Alfred Nehemias & August Eberstein
Glashütte Original,Glashütte, Germany,1994,N/A
Corum,La Chaux-de-Fonds, Switzerland,1955,René Bannwart & André Valentin
Baume & Mercier,Geneva, Switzerland,1830,Louis-Ulysse Baume & Alexandre Mercier
Bell & Ross,Paris, France,1992,Bruno Belamich & Carlos A. Rosillo
Frederique Constant,Plan-les-Ouates, Switzerland,1988,Aletta Bax & Peter Stas
Maurice Lacroix,Saignelégier, Switzerland,1975,Maurice Lacroix
Ebel,La Chaux-de-Fonds, Switzerland,1911,Eugène Blum
U-Boat,Milan, Italy,2000,Ciro Abbate
Oris,Hölstein, Switzerland,1904,Paul Cattin & Georges Christian
Rado,Lengnau, Switzerland,1917,Albert Schlup
HYT,La Chaux-de-Fonds, Switzerland,2012,Benoît Mintiens
De Bethune,Le Sentier, Switzerland,2002,David Zanetta & Denis Flageollet
MB&F,La Chaux-de-Fonds, Switzerland,2005,Maximilian Büsser
Longines,Saint-Imier, Switzerland,1832,Auguste Agassiz
Hamilton,Lancaster, USA,1892,N/A
Sinn,Frankfurt am Main, Germany,1961,Helmut Sinn
Junghans,Schramberg, Germany,1861,Erwin Junghans
Nomos Glashütte,Glashütte, Germany,1990,Roland Schwertner
Mido,Biel/Bienne, Switzerland,1918,Georges Schaeren
Tissot,Le Locle, Switzerland,1853,Charles-Félicien Tissot & Charles-Emile Tissot
Raymond Weil,Geneva, Switzerland,1976,Raymond Weil
Romain Gauthier,Le Sentier, Switzerland,2005,Romain Gauthier
Arnold & Son,La Chaux-de-Fonds, Switzerland,1764,John Arnold
F.P. Journe,Geneva, Switzerland,1999,François-Paul Journe
